#frame,timestamp,world_timestamp,location.x,location.y,location.z,rotation.pitch,rotation.yaw,rotation.roll,latitude,longitude,altitude
8,1.954726972617209,16780961.4806162,88.71004486083984,237.42999267578125,2.8996472358703613,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8996472358703613
10,1.966726972721517,16780963.0665233,88.71004486083984,237.42999267578125,2.897883176803589,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.897883176803589
11,1.9727269727736712,16780963.3179858,88.71004486083984,237.42999267578125,2.896472215652466,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.896472215652466
12,1.9787269728258252,16780963.5686203,88.71004486083984,237.42999267578125,2.8947081565856934,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8947081565856934
13,1.9847269728779793,16780963.8012467,88.71004486083984,237.42999267578125,2.8925914764404297,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8925914764404297
14,1.9907269729301333,16780964.0463881,88.71004486083984,237.42999267578125,2.8901216983795166,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8901216983795166
15,1.9967269729822874,16780964.2990027,88.71004486083984,237.42999267578125,2.887299060821533,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.887299060821533
16,2.0027269730344415,16780964.532671,88.71004486083984,237.42999267578125,2.8841240406036377,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8841240406036377
17,2.0087269730865955,16780964.8080763,88.71004486083984,237.42999267578125,2.880596160888672,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.880596160888672
18,2.0147269731387496,16780965.0470667,88.71004486083984,237.42999267578125,2.8767154216766357,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8767154216766357
19,2.0207269731909037,16780965.3042247,88.71004486083984,237.42999267578125,2.87248158454895,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.87248158454895
20,2.0267269732430577,16780965.5457579,88.71004486083984,237.42999267578125,2.8678953647613525,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8678953647613525
21,2.032726973295212,16780965.8141912,88.71004486083984,237.42999267578125,2.8629562854766846,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8629562854766846
22,2.038726973347366,16780966.0621039,88.71004486083984,237.42999267578125,2.857664108276367,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.857664108276367
23,2.04472697339952,16780966.3302155,88.71004486083984,237.42999267578125,2.8520193099975586,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8520193099975586
24,2.050726973451674,16780966.6018827,88.71004486083984,237.42999267578125,2.8460216522216797,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8460216522216797
25,2.056726973503828,16780966.8671558,88.71004486083984,237.42999267578125,2.8396713733673096,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8396713733673096
26,2.062726973555982,16780967.1378293,88.71004486083984,237.42999267578125,2.83296799659729,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.83296799659729
27,2.068726973608136,16780967.3963245,88.71004486083984,237.42999267578125,2.8259119987487793,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8259119987487793
28,2.0747269736602902,16780967.6597653,88.71004486083984,237.42999267578125,2.8185033798217773,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8185033798217773
29,2.0807269737124443,16780967.9252677,88.71004486083984,237.42999267578125,2.810741424560547,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.810741424560547
30,2.0867269737645984,16780968.2063793,88.71004486083984,237.42999267578125,2.8026270866394043,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.8026270866394043
31,2.0927269738167524,16780968.4612187,88.71004486083984,237.42999267578125,2.7941601276397705,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.7941601276397705
32,2.0987269738689065,16780968.7433568,88.71004486083984,237.42999267578125,2.785339832305908,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.785339832305908
33,2.1047269739210606,16780968.9987596,88.71004486083984,237.42999267578125,2.776167154312134,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.776167154312134
34,2.1107269739732146,16780969.2873401,88.71004486083984,237.42999267578125,2.766641855239868,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.766641855239868
35,2.1167269740253687,16780969.5386658,88.71004486083984,237.42999267578125,2.756763219833374,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.756763219833374
36,2.1227269740775228,16780969.8274949,88.71004486083984,237.42999267578125,2.7465319633483887,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.7465319633483887
37,2.128726974129677,16780970.0945007,88.71004486083984,237.42999267578125,2.735948085784912,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.735948085784912
38,2.134726974181831,16780970.3823037,88.71004486083984,237.42999267578125,2.7250113487243652,0.0,-179.9996337890625,0.0,-0.0021328699127991513,0.0007968958915342084,2.7250113487243652
